Timestamp,Flux
795.60107,0.99742917
795.6215,0.99734196
795.64194,0.99757567
795.66237,0.99737642
795.6828,0.99746432
795.70324,0.99742228
795.72367,0.99739723
795.76454,0.99750377
795.78497,0.99759505
795.80541,0.9975447
795.82584,0.99768153
795.84627,0.9974746
795.86671,0.99764399
795.88714,0.99776395
795.90758,0.99751861
795.92801,0.9975825
795.94844,0.99766676
795.96888,0.99776536
795.98931,0.99759807
796.00974,0.99762866
796.03018,0.99762004
796.05061,0.99765543
796.07105,0.99773773
796.09148,0.99785252
796.11191,0.9978303
796.13235,0.99781873
796.15278,0.99795322
796.17321,0.99779171
796.19365,0.99792047
796.21408,0.99773379
796.23452,0.99777607
796.25495,0.99779171
796.27538,0.99766713
796.29582,0.9977954
796.31625,0.9978852
796.33669,0.99804481
796.35712,0.99790293
796.37755,0.99802757
796.39799,0.9981524
796.41842,0.99804758
796.43885,0.99809048
796.45929,0.99805792
796.47972,0.99794909
796.50016,0.99800406
796.52059,0.99802634
796.54102,0.99805982
796.56146,0.99796307
796.58189,0.99817751
796.60232,0.99809829
796.62276,0.99791032
796.64319,0.99814212
796.66363,0.99815067
796.68406,0.99822207
796.70449,0.9981247
796.72493,0.99805059
796.74536,0.99798479
796.7658,0.99784649
796.78623,0.99790909
796.80666,0.99795273
796.8271,0.99801791
796.84753,0.99799347
796.86796,0.99796756
796.8884,0.99797605
796.90883,0.9978841
796.92927,0.9979646
796.9497,0.99806142
796.97013,0.99804542
796.99057,0.99841233
797.011,0.99812291
797.03143,0.99802634
797.05187,0.99805447
797.0723,0.99807503
797.09274,0.99808666
797.11317,0.99812975
797.1336,0.99830437
797.15404,0.99813485
797.17447,0.99826608
797.19491,0.99828344
797.21534,0.9983056
797.23577,0.99836339
797.25621,0.99840279
797.27664,0.99849167
797.29707,0.99862246
797.31751,0.99859458
797.33794,0.99857876
797.35838,0.99856583
797.37881,0.9986986
797.39924,0.99860369
797.41968,0.99853137
797.44011,0.99858682
797.46055,0.99860283
797.48098,0.99859384
797.50141,0.99866284
797.52185,0.99849739
797.54228,0.99864751
797.56271,0.99875861
797.58315,0.99884214
797.60358,0.9987207
797.62402,0.99851493
797.64445,0.99873405
797.66488,0.99859421
797.68532,0.99847098
797.70575,0.99853635
797.72618,0.99860018
797.74662,0.99860116
797.76705,0.99861951
797.78749,0.9986512
797.80792,0.99857747
797.82835,0.99844796
797.84879,0.99863502
797.86922,0.99849776
797.88966,0.99850342
797.91009,0.99847609
797.93052,0.99850354
797.95096,0.99846538
797.97139,0.99853426
797.99182,0.99843498
798.01226,0.99841614
798.03269,0.99850884
798.05313,0.9984937
798.07356,0.99849277
798.09399,0.99856073
798.11443,0.99856916
798.13486,0.99849702
798.1553,0.9985334
798.17573,0.99870537
798.19616,0.99856386
798.2166,0.99872728
798.23703,0.9987756
798.25746,0.99891741
798.2779,0.99871922
798.29833,0.99885617
798.31877,0.99899078
798.3392,0.99888356
798.35963,0.99894203
798.38007,0.99904088
798.4005,0.99870334
798.42094,0.99897041
798.44137,0.99903688
798.4618,0.99882053
798.48224,0.99906372
798.50267,0.99895945
798.5231,0.99891489
798.54354,0.9988081
798.56397,0.99868401
798.58441,0.998697
798.62527,0.99853303
798.64571,0.99849407
798.66614,0.99857285
798.68658,0.99856103
798.70701,0.99833502
798.74788,0.99843165
798.76831,0.99849702
798.78874,0.99842784
798.80918,0.99851986
798.82961,0.99860578
798.85005,0.99841583
798.87048,0.99845363
798.89091,0.99845473
798.91135,0.99851308
798.93178,0.99861175
798.95222,0.99864523
798.97265,0.99857839
798.99308,0.9986128
799.01352,0.99862461
799.03395,0.99870149
799.05438,0.99882386
799.07482,0.9989192
799.09525,0.99899078
799.11569,0.99902703
